veh_value,exposure,clm,numclaims,veh_body,veh_age,gender,area,agecat,claimsize
17.9,.67351133,0,0,UTE,4,F,E,3,0
17.9,.046543501,0,0,HBACK,1,M,C,6,0
19,.85420942,0,0,HBACK,1,M,C,1,0
18.4,.0958248,0,0,STNWG,4,M,A,3,0
3.8999999,.0301164,0,0,HBACK,4,F,B,4,0
53.899998,.0246407,0,0,STNWG,2,M,A,5,0
14.299999,.0301164,0,0,SEDAN,2,F,B,4,0
23.299999,.2299795,0,0,MIBUS,3,F,C,3,0
36.799999,.34770709,0,0,UTE,1,F,E,2,0
34.299999,.31759071,0,0,STNWG,2,F,D,2,0
11.3,.2299795,0,0,SEDAN,3,M,A,3,0
26.5,.31759071,0,0,HDTOP,3,M,F,5,0
19.799999,.2299795,0,0,UTE,3,M,A,2,0
6.8000002,.24914441,0,0,HBACK,3,F,E,3,0
11.5,.66529769,0,0,SEDAN,3,M,C,4,0
31.900002,.99931562,0,0,HDTOP,3,M,F,4,0
11.4,.34496921,0,0,SEDAN,3,M,C,4,0
14.299999,.2190281,0,0,SEDAN,2,F,C,4,0
12.200001,.77754962,0,0,HDTOP,4,F,D,2,0
17.5,.24366871,0,0,SEDAN,2,M,A,4,0
3.8,.75017112,0,0,HBACK,4,F,A,2,0
47,.23271731,0,0,STNWG,2,M,D,2,0
26.6,.31759071,1,1,STNWG,1,F,F,5,11057
15.900001,.2299795,0,0,SEDAN,1,F,A,1,0
5.4000001,.0273785,0,0,SEDAN,4,M,A,4,0
5,.071184099,1,1,HBACK,4,F,A,5,2000
13,.2299795,0,0,HBACK,2,F,B,1,0
14.099999,.0273785,0,0,HBACK,2,F,C,4,0
17.5,.31759071,0,0,HBACK,2,F,B,4,0
22.9,.0301164,0,0,UTE,2,M,C,2,0
46.399998,.22176591,0,0,STNWG,1,F,D,3,0
8,.2765229,0,0,HBACK,3,M,C,6,0
35.5,.8514716,0,0,STNWG,2,F,C,3,0
17.5,.31759071,0,0,HBACK,2,M,A,3,0
14.8,.69541413,0,0,HBACK,2,F,B,2,0
12.200001,.39425051,0,0,HBACK,3,M,C,3,0
31.400002,.30663931,0,0,UTE,2,F,A,2,0
15.1,.31759071,0,0,STNWG,4,M,A,4,0
16.5,.72279263,0,0,SEDAN,3,M,C,4,0
16.4,.31759071,0,0,UTE,2,M,C,4,0
21.700001,.34496921,0,0,STNWG,3,F,F,5,0
13.099999,.31759071,0,0,HBACK,2,M,B,2,0
11.599999,.59685153,1,2,STNWG,4,F,B,2,7392
7.6999998,.8788501,0,0,SEDAN,4,F,C,5,0
4.3000002,.31759071,0,0,HBACK,4,F,B,3,0
49.799999,.72279263,0,0,STNWG,1,M,F,5,0
17.200001,.9062286,0,0,SEDAN,2,F,D,6,0
24.700001,.67077339,0,0,HDTOP,3,M,D,2,0
41.700001,.72279263,0,0,STNWG,2,F,C,2,0
11.3,.2299795,0,0,SEDAN,3,M,B,6,0
6.7000003,.0273785,0,0,HBACK,4,F,A,5,0
35.599998,.9062286,1,1,MCARA,3,M,F,4,32306
25.599998,.31759071,0,0,STNWG,2,F,A,3,0
13.6,.2299795,0,0,HBACK,1,F,C,5,0
39.990002,.99931562,0,0,SEDAN,1,M,C,1,0
16.4,.090349101,0,0,HBACK,2,F,A,4,0
21.5,.65434629,1,1,SEDAN,3,F,A,5,2000
8.8999996,.2299795,0,0,HBACK,3,M,C,2,0
30.299999,.90349078,1,1,TRUCK,1,M,C,1,2000
24.1,.33949351,1,1,STNWG,3,M,E,1,4078
7.3000002,.76933599,0,0,SEDAN,4,M,E,5,0
8.1999998,.46269679,0,0,HDTOP,4,F,F,1,0
13.9,.093086898,0,0,SEDAN,3,M,A,2,0
25.4,.34496921,0,0,HDTOP,3,M,C,5,0
7.5999999,.34496921,0,0,SEDAN,4,M,D,3,0
4.0999999,.2299795,0,0,HBACK,4,M,A,5,0
35.989998,.58316219,0,0,STNWG,1,F,B,3,0
19.799999,.30663931,0,0,SEDAN,3,F,A,3,0
7.5999999,.2299795,0,0,SEDAN,4,F,A,3,0
5.2999997,.2299795,0,0,HBACK,4,F,B,3,0
18.6,.34496921,0,0,STNWG,2,F,B,4,0
2.2,.29295,0,0,HBACK,4,M,C,6,0
16.5,.72279263,0,0,SEDAN,3,F,F,3,0
13.3,.2245038,0,0,HBACK,3,F,A,6,0
8.5,.30663931,0,0,HBACK,3,F,A,3,0
19.700001,.61601639,0,0,STNWG,3,M,D,5,0
11.5,.019165,0,0,HBACK,4,F,A,4,0
26.5,.29021221,0,0,SEDAN,1,M,A,5,0
4.5,.61601639,0,0,HBACK,4,F,B,6,0
4.5,.61601639,0,0,HBACK,4,F,A,6,0
6.7000003,.61601639,0,0,SEDAN,4,F,D,5,0
13,.64887059,0,0,HBACK,2,F,C,5,0
5.8999996,.61601639,0,0,COUPE,4,F,A,4,0
15.5,.61601639,0,0,SEDAN,2,F,E,5,0
15.599999,.2464066,0,0,SEDAN,1,F,D,5,0
4.0999999,.61601639,0,0,SEDAN,4,F,A,5,0
17.200001,.64613283,0,0,SEDAN,2,F,B,6,0
4.4000001,.61601639,0,0,SEDAN,4,M,D,6,0
25.799999,.61601639,0,0,STNWG,3,M,D,6,0
18.4,.2299795,0,0,PANVN,1,M,C,3,0
2.2,.61601639,0,0,HBACK,4,F,B,5,0
17.200001,.61601639,1,1,STNWG,2,F,A,6,16198
30.5,.2299795,0,0,STNWG,2,F,F,2,0
18.5,.3367556,0,0,SEDAN,1,F,D,5,0
32.099998,.61601639,0,0,STNWG,1,M,B,4,0
8.8999996,.61601639,0,0,STNWG,4,M,C,6,0
19.799999,.38329911,0,0,SEDAN,2,M,A,2,0
5.1999998,.38329911,0,0,SEDAN,4,F,A,6,0
19.199999,.61601639,1,1,STNWG,4,M,A,5,10109
11.5,.61601639,0,0,HBACK,3,F,C,2,0
5,.61601639,0,0,STNWG,4,F,C,3,0
65.400002,.2299795,0,0,STNWG,1,F,D,4,0
51.399998,.61601639,0,0,STNWG,1,M,B,6,0
6.7000003,.61601639,0,0,SEDAN,4,F,C,4,0
13.9,.38329911,0,0,SEDAN,3,M,C,2,0
46.5,.38329911,0,0,STNWG,1,F,E,3,0
14.299999,.38329911,0,0,SEDAN,3,F,D,2,0
4.3000002,.38329911,0,0,SEDAN,4,F,C,2,0
10.2,.61875433,0,0,SEDAN,3,F,B,5,0
15.1,.1752225,0,0,SEDAN,3,F,B,2,0
26.49,.25735801,1,1,TRUCK,1,M,A,1,94243
13.099999,.61601639,0,0,STNWG,4,M,D,3,0
24.799999,.42436689,0,0,STNWG,3,M,C,1,0
17.4,.25735801,0,0,SEDAN,2,F,A,2,0
16.200001,.093086898,0,0,STNWG,4,F,F,3,0
54.299999,.61601639,0,0,STNWG,1,F,C,3,0
6.5,.61601639,0,0,SEDAN,4,M,A,4,0
3.5,.61601639,0,0,SEDAN,4,M,E,5,0
37.299999,.61601639,0,0,STNWG,2,M,A,5,0
16.1,.34496921,0,0,SEDAN,2,F,C,4,0
8.1999998,.61601639,0,0,HBACK,4,F,A,6,0
13.3,.61601639,0,0,TRUCK,4,M,F,1,0
7.7999997,.3422313,0,0,HBACK,3,F,C,4,0
39.799999,.61601639,0,0,STNWG,2,F,C,2,0
9.5,.61601639,0,0,HDTOP,4,M,A,6,0
11.4,.38329911,0,0,SEDAN,4,F,B,3,0
5.2999997,.61601639,0,0,SEDAN,4,F,D,5,0
15,.61601639,0,0,STNWG,4,M,A,3,0
17.6,.61601639,0,0,STNWG,2,M,C,3,0
10,.3148528,0,0,HBACK,2,M,B,4,0
12.200001,.61601639,0,0,HBACK,3,M,A,4,0
28.199999,.38329911,0,0,STNWG,3,F,C,3,0
21.300001,.9007529,0,0,HDTOP,2,F,A,2,0
10.1,.28473651,0,0,STNWG,4,M,B,6,0
18.4,.61601639,0,0,SEDAN,2,F,A,6,0
31.099998,.38329911,0,0,TRUCK,3,M,C,3,0
3.8999999,.61601639,0,0,SEDAN,4,M,A,4,0
10.1,.093086898,0,0,HBACK,3,F,E,1,0
25.799999,.61601639,0,0,STNWG,3,M,C,5,0
5.0999999,.61601639,0,0,SEDAN,4,F,A,4,0
10.2,.61601639,0,0,SEDAN,3,F,C,6,0
16.299999,.64613283,0,0,HBACK,2,F,C,5,0
8.3999996,.61601639,0,0,HBACK,3,F,C,4,0
23.4,.61601639,0,0,HBACK,3,M,C,5,0
18.6,.61601639,1,1,SEDAN,2,F,C,3,2386
72,.61601639,0,0,SEDAN,3,F,D,6,0
4.5999999,.61601639,0,0,STNWG,4,F,A,4,0
16.6,.90349078,0,0,STNWG,3,F,A,3,0
37.099998,.76659822,0,0,STNWG,1,F,C,3,0
16.200001,.61601639,0,0,STNWG,4,F,F,3,0
5.7999997,.61601639,0,0,COUPE,4,F,B,4,0
30.599998,.61601639,0,0,STNWG,3,F,F,4,0
11.7,.76933599,0,0,SEDAN,3,F,D,1,0
9.8000002,.61601639,0,0,SEDAN,3,F,B,3,0
10.2,.61601639,0,0,HBACK,4,F,B,2,0
14,.61601639,0,0,SEDAN,3,F,A,4,0
29.700001,.098562598,0,0,STNWG,1,M,F,4,0
17.799999,.61875433,0,0,SEDAN,2,F,C,2,0
4.0999999,.34496921,0,0,HBACK,4,F,B,3,0
27.4,.94182068,0,0,STNWG,2,M,C,3,0
52.989998,.38329911,0,0,STNWG,1,F,D,3,0
14.2,.25462011,0,0,HBACK,1,M,C,3,0
20.1,.61601639,0,0,HDTOP,3,M,E,5,0
15.4,.61601639,1,1,STNWG,2,F,B,3,2000
40,.61601639,0,0,STNWG,2,F,A,4,0
13,.64613283,0,0,HBACK,2,M,C,4,0
13.400001,.17248461,0,0,HBACK,2,F,B,3,0
16.699999,.38329911,0,0,STNWG,2,F,E,5,0
18.799999,.75017112,1,1,PANVN,3,M,D,3,3691
10.299999,.34496921,0,0,HBACK,3,F,D,4,0
14.299999,.2299795,0,0,TRUCK,4,M,D,1,0
8.8999996,.68446273,1,1,SEDAN,3,F,D,3,3537
11.3,.093086898,0,0,STNWG,4,F,B,2,0
19,.1916496,0,0,PANVN,3,M,C,5,0
21.099998,.87063652,0,0,HBACK,2,F,C,3,0
18.200001,.75017112,0,0,UTE,1,M,D,4,0
0,.99931562,0,0,BUS,3,M,F,5,0
30.299999,.75290889,0,0,STNWG,1,M,D,3,0
37,.41615331,0,0,STNWG,3,M,C,1,0
22.200001,.39151269,0,0,HDTOP,3,F,C,2,0
21.5,.64613283,0,0,SEDAN,3,F,A,4,0
5.7999997,.64613283,0,0,HBACK,4,M,A,3,0
15.299999,.62696779,0,0,STNWG,4,M,A,4,0
15.5,.64613283,0,0,HBACK,2,F,C,2,0
11.2,.64613283,0,0,STNWG,4,M,A,3,0
4.7999997,.92539358,0,0,HBACK,4,F,A,6,0
16.699999,.093086898,0,0,TRUCK,1,M,B,2,0
10.2,.64339489,0,0,HBACK,3,M,C,4,0
16.4,.24914441,0,0,STNWG,4,M,C,3,0
20.1,.55578369,0,0,TRUCK,3,M,F,5,0
8.5,.92539358,0,0,HBACK,3,F,B,4,0
14.2,.64613283,0,0,HBACK,1,F,C,6,0
27.5,.24914441,0,0,STNWG,3,F,B,3,0
16.6,.12867901,0,0,SEDAN,2,M,F,3,0
16.6,.2299795,0,0,SEDAN,3,M,C,5,0
11.799999,.2190281,0,0,STNWG,4,F,B,3,0
9.5,.71731693,0,0,SEDAN,4,F,C,6,0
17.700001,.64339489,0,0,SEDAN,2,M,C,4,0
13,.72005469,0,0,HBACK,1,F,B,3,0
6.5,.7857632,0,0,MIBUS,4,F,B,5,0
7.3000002,.9062286,0,0,SEDAN,4,M,C,6,0
11.2,.50376463,0,0,HBACK,2,F,B,1,0
9.8000002,.2299795,0,0,HBACK,3,F,E,6,0
13.990001,.76933599,0,0,HBACK,1,F,B,5,0
13.099999,.19986311,0,0,UTE,4,M,C,5,0
17.6,.2299795,0,0,SEDAN,1,F,E,1,0
14.2,.9007529,0,0,HBACK,1,F,C,3,0
4.0999999,.2299795,0,0,SEDAN,4,F,E,2,0
40,.2299795,0,0,STNWG,2,M,C,3,0
11.900001,.093086898,0,0,UTE,4,M,B,4,0
4.6999998,.75017112,0,0,HBACK,4,F,C,1,0
20.1,.0273785,0,0,UTE,3,F,F,3,0
15.5,.9062286,0,0,HDTOP,4,M,D,1,0
14.5,.19986311,0,0,SEDAN,2,F,D,2,0
12,.093086898,0,0,HBACK,2,M,C,1,0
10.299999,.2299795,0,0,STNWG,3,F,A,1,0
18.9,.8514716,0,0,STNWG,2,F,A,6,0
20,.30116361,0,0,SEDAN,1,M,B,4,0
17.299999,.24914441,0,0,SEDAN,2,M,F,3,0
10.700001,.2299795,0,0,SEDAN,3,F,D,2,0
27.200001,.24914441,0,0,SEDAN,1,F,A,3,0
32.200001,.8514716,0,0,UTE,1,M,C,3,0
4.5,.2354552,0,0,COUPE,4,F,E,4,0
4.7999997,.052019201,0,0,SEDAN,4,F,C,6,0
12.200001,.60506499,0,0,HBACK,3,M,C,4,0
31.900002,.99931562,0,0,HBACK,2,F,A,4,0
27.9,.37782341,0,0,SEDAN,1,F,C,2,0
9,.8514716,0,0,SEDAN,4,M,A,2,0
61,.24914441,0,0,SEDAN,1,M,C,5,0
44.599998,.1916496,1,1,COUPE,2,M,B,2,9899
45.599998,.64887059,0,0,MIBUS,2,M,C,3,0
14.8,.19986311,0,0,HBACK,1,F,C,5,0
23.299999,.8514716,0,0,SEDAN,2,M,C,5,0
26.700001,.24914441,0,0,STNWG,3,F,D,4,0
15.900001,.0273785,0,0,SEDAN,2,F,A,3,0
43.200001,.64613283,1,1,STNWG,2,M,A,5,7368
10.5,.53935659,0,0,HBACK,2,M,C,3,0
10.599999,.92539358,0,0,STNWG,3,M,E,4,0
60.700001,.24914441,0,0,STNWG,1,M,E,3,0
55.900002,.8514716,1,1,STNWG,1,M,C,3,3691
14.400001,.66529769,1,1,UTE,4,M,F,2,5000
14.099999,.073922001,0,0,HBACK,2,F,C,6,0
4.6999998,.19986311,0,0,SEDAN,4,M,A,3,0
18.4,.35318279,0,0,STNWG,4,F,B,4,0
28.099998,.8514716,1,1,STNWG,1,M,C,3,3537
25.5,.24914441,0,0,SEDAN,1,F,C,5,0
30.1,.84873372,0,0,STNWG,2,M,E,4,0
16,.24914441,0,0,HBACK,2,F,D,4,0
15.900001,.77207392,0,0,PANVN,3,F,D,5,0
20.1,.64613283,0,0,HDTOP,3,F,D,2,0
14.299999,.64613283,0,0,STNWG,4,F,D,6,0
7.3000002,.40246409,0,0,SEDAN,4,F,B,3,0
7.9000001,.2354552,0,0,SEDAN,4,F,C,4,0
14.9,.35318279,0,0,HBACK,2,F,C,4,0
6.7000003,.92539358,0,0,SEDAN,4,M,C,5,0
12.3,.77207392,0,0,HBACK,2,F,A,2,0
16.699999,.0273785,0,0,SEDAN,2,F,E,6,0
12.6,.35592061,0,0,HBACK,3,F,C,1,0
37.5,.64613283,0,0,STNWG,2,F,E,3,0
3.4000001,.64339489,0,0,SEDAN,4,F,D,4,0
16.1,.35318279,0,0,HBACK,2,M,B,3,0
14.099999,.99931562,0,0,SEDAN,2,F,A,2,0
29.5,.24914441,0,0,STNWG,1,F,D,6,0
15.78,.8514716,0,0,HBACK,1,M,A,4,0
11.2,.22176591,0,0,HBACK,2,F,B,3,0
13.6,.0273785,0,0,SEDAN,2,F,C,4,0
9.1999998,.24914441,0,0,HBACK,3,F,C,2,0
7.3000002,.8514716,0,0,HBACK,3,F,C,1,0
12.200001,.99931562,0,0,HBACK,3,F,E,6,0
56.5,.1040383,0,0,STNWG,1,M,C,3,0
30,.61327863,1,1,STNWG,3,F,C,2,63720
5.4000001,.22724161,0,0,HBACK,4,F,A,4,0
17.6,.19986311,0,0,HBACK,1,F,B,5,0
10.700001,.3312799,0,0,STNWG,4,M,B,3,0
11.4,.14510611,0,0,UTE,4,M,A,2,0
2,.0958248,0,0,HBACK,4,M,A,3,0
15.1,.64613283,0,0,UTE,3,M,B,3,0
22.9,.35318279,1,1,STNWG,4,F,F,4,5000
3.8999999,.92539358,1,1,SEDAN,4,F,C,6,13790
17.5,.22176591,0,0,HBACK,2,F,B,2,0
13.099999,.3148528,0,0,HBACK,2,F,A,1,0
4.6999998,.39151269,0,0,STNWG,4,F,D,3,0
10.900001,.2080767,0,0,HBACK,3,F,C,3,0
13,.24914441,0,0,HBACK,2,F,C,5,0
12.3,.77207392,0,0,HBACK,2,M,C,1,0
19,.22724161,0,0,SEDAN,1,F,A,4,0
18.700001,.8514716,0,0,HBACK,3,F,A,4,0
11.7,.1259411,0,0,STNWG,4,M,C,3,0
23.699999,.64339489,0,0,MIBUS,3,M,C,3,0
16.799999,.2245038,0,0,HBACK,3,F,C,4,0
18.300001,.35318279,0,0,SEDAN,3,M,C,1,0
12.9,.92539358,1,1,SEDAN,3,M,D,3,2000
3,.2299795,0,0,HBACK,4,M,B,4,0
15.2,.24914441,0,0,HBACK,3,F,A,3,0
23.5,.64339489,0,0,COUPE,2,F,C,3,0
3.4000001,.2135524,0,0,HBACK,4,F,B,1,0
9.8999996,.24914441,0,0,HBACK,2,F,E,5,0
18.4,.8514716,0,0,HBACK,2,F,A,4,0
12.3,.8514716,0,0,HBACK,3,F,B,4,0
20.299999,.68993843,0,0,SEDAN,2,F,A,5,0
15.1,.22724161,0,0,HDTOP,4,M,C,2,0
7.5999999,.22724161,0,0,SEDAN,4,F,B,1,0
19,.2245038,0,0,STNWG,4,F,C,4,0
27.5,.1752225,0,0,STNWG,1,F,C,3,0
9,.2245038,0,0,SEDAN,3,F,A,6,0
17.4,.72005469,0,0,HBACK,2,F,A,6,0
23.900002,.92539358,0,0,STNWG,3,M,E,6,0
21.400002,.64613283,0,0,UTE,3,M,E,4,0
10.299999,.64613283,0,0,HBACK,2,F,C,2,0
12.799999,.60506499,0,0,STNWG,4,M,F,4,0
6.7000003,.22724161,0,0,COUPE,4,F,B,3,0
9,.72005469,0,0,HBACK,3,F,B,4,0
10.700001,.24914441,0,0,SEDAN,3,M,C,4,0
22.9,.24914441,0,0,SEDAN,1,M,C,3,0
11.3,.37782341,1,1,SEDAN,4,F,B,1,9375
13.7,.8514716,0,0,HBACK,2,M,A,3,0
6.1999998,.8514716,0,0,COUPE,4,M,A,4,0
12.6,.046543501,0,0,HBACK,2,F,F,2,0
19.799999,.041067801,0,0,STNWG,4,F,C,4,0
0,.99931562,1,2,STNWG,4,M,A,3,27243
20.4,.24914441,0,0,HBACK,1,M,B,1,0
21,.24914441,0,0,COUPE,3,F,A,3,0
18.200001,.2245038,0,0,HBACK,1,F,A,4,0
3.0999999,.78302532,0,0,HBACK,4,F,E,6,0
22.9,.24914441,0,0,SEDAN,1,M,A,2,0
13.8,.24914441,0,0,HBACK,1,F,B,1,0
18.5,.27926081,0,0,SEDAN,2,F,C,3,0
15,.0273785,0,0,HBACK,2,F,C,3,0
27.799999,.073922001,0,0,SEDAN,2,M,C,5,0
24.9,.52566743,0,0,SEDAN,2,M,C,3,0
13,.13963041,0,0,HDTOP,4,M,C,3,0
52.360001,.2245038,0,0,STNWG,1,M,C,3,0
9.8999996,.0273785,0,0,SEDAN,3,F,B,5,0
9.3000002,.8514716,0,0,SEDAN,4,F,B,4,0
27.6,.72005469,0,0,STNWG,1,F,D,3,0
16.200001,.92539358,0,0,SEDAN,3,M,A,5,0
32.200001,.3093771,0,0,HDTOP,2,F,F,2,0
24.1,.75017112,1,1,HBACK,1,F,B,3,128796
11.1,.2245038,0,0,UTE,4,M,C,2,0
6.6000004,.8514716,0,0,HBACK,4,F,A,2,0
36.900002,.75017112,0,0,TRUCK,2,M,C,1,0
9.3000002,.25462011,0,0,TRUCK,4,F,B,5,0
16.699999,.30116361,0,0,HBACK,2,F,A,6,0
18.6,.22176591,0,0,SEDAN,1,M,C,1,0
34.700001,.2464066,1,1,SEDAN,1,M,B,3,9372
15.299999,.27926081,0,0,UTE,3,M,C,2,0
13.9,.8295688,0,0,HBACK,1,F,A,4,0
12.6,.3093771,0,0,HBACK,2,M,B,4,0
28.199999,.8295688,0,0,STNWG,1,M,A,5,0
17.9,.3148528,0,0,SEDAN,2,M,D,4,0
12,.2245038,0,0,HBACK,1,F,C,3,0
31.400002,.8514716,1,2,TRUCK,3,M,C,1,191421
6.8000002,.3093771,0,0,HBACK,3,F,D,3,0
11.7,.64613283,0,0,HBACK,2,M,C,3,0
17.1,.35865849,0,0,SEDAN,2,F,A,3,0
11.2,.3093771,0,0,HBACK,3,F,C,2,0
3.8999999,.2245038,0,0,HBACK,4,M,B,3,0
16.4,.68993843,0,0,STNWG,3,F,C,4,0
13.49,.54757023,0,0,HBACK,1,F,C,3,0
18.099998,.72005469,0,0,HBACK,4,M,C,2,0
5.5,.1013005,0,0,HBACK,4,F,A,1,0
10,.2245038,0,0,HBACK,3,F,B,2,0
11.799999,.073922001,0,0,SEDAN,3,M,B,6,0
20,.17248461,0,0,SEDAN,2,F,C,4,0
14.28,.52566743,0,0,HBACK,1,F,C,4,0
28.699999,.2245038,0,0,STNWG,2,F,A,3,0
11.599999,.862423,0,0,SEDAN,3,M,A,6,0
9.1999998,.0273785,0,0,SEDAN,3,M,C,4,0
13.8,.90349078,0,0,HBACK,2,F,C,3,0
16.4,.3093771,0,0,STNWG,4,M,A,2,0
23,.69815189,0,0,STNWG,3,M,B,5,0
17.4,.21629021,0,0,SEDAN,2,F,C,4,0
13.7,.8459959,0,0,HBACK,1,F,C,1,0
13,.90349078,0,0,HDTOP,4,F,B,1,0
28.5,.52566743,0,0,UTE,2,M,A,1,0
16.1,.27926081,0,0,HBACK,2,F,F,1,0
22.34,.8514716,0,0,SEDAN,1,F,D,6,0
13.9,.9117043,0,0,HBACK,3,M,B,5,0
4.3000002,.093086898,0,0,HBACK,4,F,A,6,0
12.4,.17796031,0,0,SEDAN,3,F,D,5,0
24.700001,.37234771,0,0,SEDAN,1,F,A,5,0
16,.90896648,0,0,SEDAN,2,F,B,5,0
21.5,.90896648,0,0,UTE,3,M,D,6,0
19.799999,.9117043,1,1,STNWG,4,M,C,6,26593
4.7999997,.90896648,0,0,SEDAN,4,F,C,2,0
33,.9062286,1,1,STNWG,2,M,A,5,23493
14.9,.90896648,0,0,SEDAN,3,M,E,6,0
15.5,.65982199,0,0,HDTOP,4,M,C,6,0
61.799999,.0273785,0,0,CONVT,4,M,A,4,0
6.1999998,.90896648,1,1,STNWG,4,M,C,6,3677
13,.2245038,0,0,HBACK,2,F,A,2,0
17.700001,.087611198,0,0,HBACK,3,M,B,6,0
65.599998,.90896648,0,0,STNWG,1,F,E,5,0
18.5,.9062286,0,0,SEDAN,2,M,B,5,0
10.5,.9062286,0,0,HBACK,2,F,E,6,0
9.1000004,.9117043,0,0,SEDAN,4,F,F,5,0
15.1,.9117043,0,0,STNWG,4,M,B,4,0
14.6,.22176591,0,0,HBACK,1,F,A,1,0
50.799999,.084873401,0,0,HDTOP,1,M,E,4,0
40.900002,.9062286,0,0,STNWG,2,M,B,4,0
4.4000001,.093086898,0,0,SEDAN,4,M,D,5,0
41.100002,.8952772,0,0,STNWG,3,F,C,3,0
31,.99931562,0,0,STNWG,3,M,D,4,0
21.6,.9062286,0,0,SEDAN,1,F,A,4,0
17,.48186171,0,0,SEDAN,2,F,F,6,0
6,.093086898,0,0,SEDAN,4,F,A,6,0
8.6000004,.9062286,0,0,SEDAN,4,M,E,4,0
25.4,.90896648,0,0,STNWG,3,M,B,4,0
22,.9117043,0,0,SEDAN,2,M,D,6,0
